country,satisfaction,sex,age,immigrant,children,income_level,education,god_importance,praying_frequency,ethics_score,voter
IND,8,Female,46,Not immigrant,2,8,3,10,1,6.32,3
IND,8,Male,42,Not immigrant,3,5,7,5,2,4.8,2
IND,7,Male,42,Not immigrant,1,8,3,8,2,5.44,1
IND,9,Male,30,Not immigrant,0,9,6,7,2,5.36,1
IND,7,Male,41,Not immigrant,2,2,2,10,3,5.52,3
IND,6,Male,22,Not immigrant,1,6,4,6,1,6.32,1
IND,5,Male,30,Not immigrant,0,5,3,6,3,6.49,3
IND,10,Male,71,Not immigrant,4,5,0,10,1,5.98,3
IND,6,Female,48,Not immigrant,1,1,2,10,1,6.28,3
IND,6,Male,35,Not immigrant,3,4,2,10,1,5.36,3
IND,7,Female,58,Not immigrant,3,5,0,10,1,5.28,3
IND,9,Female,16,Not immigrant,0,5,3,3,3,6.48,0
IND,10,Male,48,Not immigrant,3,4,4,10,1,5.28,3
IND,10,Female,16,Not immigrant,0,4,3,8,3,0.99,0
IND,10,Female,51,Not immigrant,1,7,7,10,1,6.4,3
IND,6,Female,66,Not immigrant,0,6,1,9,3,5.61,3
IND,10,Male,17,Not immigrant,0,10,3,5,3,6.96,0
IND,10,Male,45,Not immigrant,3,5,3,5,1,6.4,3
IND,4,Male,24,Not immigrant,0,1,2,10,3,6.48,3
IND,7,Male,16,Not immigrant,0,1,2,5,2,6.4,1
IND,10,Male,17,Not immigrant,0,8,3,10,4,5.76,0
IND,8,Male,17,Not immigrant,0,8,3,5,3,1.76,0
IND,5,Male,26,Not immigrant,2,4,1,5,4,4.32,2
IND,5,Female,22,Not immigrant,0,7,7,10,1,7.14,2
IND,9,Male,22,Not immigrant,0,8,6,10,1,4.55,2
IND,10,Male,39,Not immigrant,1,7,8,8,1,6.0,3
IND,7,Male,24,Not immigrant,0,6,7,10,1,6.37,1
IND,8,Male,17,Not immigrant,0,4,3,8,3,2.48,0
IND,6,Male,17,Not immigrant,0,10,3,8,1,2.32,3
IND,6,Male,17,Not immigrant,0,8,3,10,1,4.8,2
IND,10,Male,40,Not immigrant,1,5,7,10,1,6.56,3
IND,10,Male,28,Not immigrant,1,10,3,8,1,6.2,3
IND,9,Female,48,Not immigrant,3,4,2,7,1,5.2,3
IND,7,Male,39,Not immigrant,2,8,6,7,2,4.51,3
IND,6,Female,36,Not immigrant,3,4,2,10,1,6.03,2
IND,5,Male,35,Not immigrant,2,4,3,10,1,5.1,3
IND,8,Male,55,Not immigrant,5,1,2,10,1,5.68,3
IND,5,Female,65,Not immigrant,2,3,1,9,2,5.76,3
IND,8,Male,28,Not immigrant,2,5,3,10,1,5.68,3
IND,8,Female,17,Not immigrant,0,8,3,8,1,4.32,3
IND,7,Male,30,Not immigrant,1,6,7,8,1,5.52,3
IND,8,Male,17,Not immigrant,0,2,2,8,2,5.92,0
IND,10,Male,33,Not immigrant,0,10,3,10,4,6.54,3
IND,9,Male,39,Not immigrant,2,6,7,3,3,5.86,3
IND,8,Male,17,Not immigrant,0,3,3,8,4,6.6,0
IND,4,Female,28,Not immigrant,1,3,6,4,3,6.32,3
IND,10,Male,23,Not immigrant,2,6,6,10,1,6.32,2
IND,10,Female,26,Not immigrant,2,8,6,8,1,5.92,3
IND,7,Male,78,Not immigrant,4,9,3,10,1,5.68,3
IND,1,Male,50,Not immigrant,5,1,2,10,3,5.76,3
IND,8,Male,18,Not immigrant,0,9,3,7,3,1.84,0
IND,9,Male,60,Not immigrant,3,9,3,9,2,5.12,3
