country,satisfaction,sex,age,immigrant,children,income_level,education,god_importance,praying_frequency,ethics_score,voter_2
USA,9,Female,56,Immigrant,2,3,5,10,1,8.27,0
IND,10,Male,16,Not immigrant,0,,1,5,1,7.21,1
IND,6,Female,39,Not immigrant,0,5,2,4,2,4.61,1
USA,5,Male,68,Not immigrant,3,1,4,5,4,6.97,0
USA,7,Female,33,Not immigrant,0,6,8,2,4,8.02,1
IND,7,Male,17,Not immigrant,0,3,2,9,2,7.72,0
USA,7,Male,27,Immigrant,1,3,6,7,2,2.57,0
IND,8,Male,17,Not immigrant,0,5,3,10,1,6.96,0
USA,10,Female,38,Not immigrant,1,4,6,10,1,7.65,1
USA,6,Female,34,Not immigrant,3,4,7,1,4,8.27,1
USA,7,Male,52,Immigrant,2,5,6,5,4,7.4,1
USA,9,Female,60,Not immigrant,2,1,5,10,1,5.91,0
IND,3,Male,33,Not immigrant,0,1,3,5,1,6.22,1
USA,5,Female,20,Not immigrant,0,,,,2,8.14,0
USA,6,Male,39,Not immigrant,2,2,3,10,1,7.77,1
USA,7,Male,36,Not immigrant,0,2,4,1,4,6.97,0
USA,10,Female,48,Not immigrant,2,1,3,10,1,9.12,0
USA,5,Male,31,Not immigrant,0,5,3,5,3,5.73,0
IND,10,Female,56,Not immigrant,2,10,3,10,1,7.34,1
IND,1,Female,17,Not immigrant,0,1,2,8,2,6.11,0
IND,8,Female,42,Not immigrant,3,7,3,9,2,7.09,1
USA,9,Female,27,Immigrant,0,5,4,10,1,8.02,0
USA,9,Female,19,Not immigrant,0,7,4,10,2,7.59,1
IND,1,Female,40,Not immigrant,3,1,3,2,4,7.21,0
USA,5,Male,30,Immigrant,2,5,3,6,1,3.93,0
IND,6,Male,54,Not immigrant,3,7,0,7,1,4.24,0
USA,7,Male,32,Not immigrant,0,3,7,10,1,8.2,1
IND,10,Male,16,Not immigrant,0,1,3,10,3,6.01,0
IND,1,Female,42,Not immigrant,4,1,0,10,1,7.25,1
USA,8,Female,30,Not immigrant,2,5,4,10,1,7.77,1
USA,10,Female,31,Not immigrant,3,9,3,10,1,4.98,1
IND,9,Male,16,Not immigrant,0,2,3,8,3,6.35,0
USA,10,Male,27,Not immigrant,0,,3,1,4,7.21,0
USA,6,Female,48,Immigrant,3,2,4,10,1,9.32,0
USA,10,Female,53,Immigrant,2,6,5,6,4,8.33,1
USA,2,Female,49,Not immigrant,2,6,3,8,3,8.02,0
IND,10,Female,16,Not immigrant,0,7,3,7,3,6.47,0
USA,9,Female,38,Not immigrant,3,7,4,10,2,9.01,0
USA,5,Female,36,Not immigrant,0,7,6,10,2,8.14,1
IND,7,Male,41,Not immigrant,2,2,2,10,3,6.53,1
IND,7,Male,56,Not immigrant,2,7,2,7,1,7.4,1
IND,1,Male,33,Not immigrant,2,2,3,2,2,6.84,1
IND,7,Male,40,Not immigrant,2,7,6,1,3,6.1,1
IND,7,Male,38,Not immigrant,0,7,6,10,1,6.89,1
IND,5,Male,57,Not immigrant,5,5,1,10,1,6.86,1
IND,8,Female,48,Not immigrant,2,8,0,8,1,6.66,1
USA,8,Male,39,Not immigrant,2,10,7,3,4,7.46,1
IND,2,Male,33,Not immigrant,2,2,3,3,2,6.78,0
USA,10,Female,29,Not immigrant,0,1,4,1,4,6.22,0
USA,7,Female,41,Not immigrant,0,5,4,5,1,6.78,0
USA,5,Female,47,Immigrant,0,3,4,10,1,6.97,0
IND,7,Male,30,Not immigrant,2,7,6,5,3,6.8,1
